Step,Time,TOTAL,Volume,Area,Angle,Length,Repulsion,Adhesion,Boundary
148958,4.68001,337.132,0.00888896,52.2388,77.6527,206.889,0.342352,0,0
150020,4.70002,336.7,0.00826154,52.2411,77.5598,206.657,0.233716,0,0
151042,4.72001,336.281,0.0090896,52.2148,77.5217,206.298,0.237462,0,0
152082,4.74001,335.955,0.00733024,52.1875,77.677,205.795,0.287716,0,0
153034,4.76002,335.759,0.00489547,52.1421,77.9167,205.414,0.280731,0,0
153980,4.78001,335.577,0.00556138,52.1259,78.1384,205.065,0.241234,0,0
154911,4.80002,335.477,0.00690982,52.1058,78.4261,204.72,0.217376,0,0
155799,4.82,335.358,0.00671143,52.1026,78.5603,204.456,0.232743,0,0
156968,4.84001,335.431,0.00655066,52.1193,78.5646,204.287,0.452774,0,0
158100,4.86001,335.337,0.00549019,52.142,78.6352,204.185,0.3688,0,0
159153,4.88001,335.367,0.00624489,52.1858,78.6548,204.179,0.340741,0,0
160167,4.90001,335.386,0.00521821,52.2176,78.6515,204.167,0.344595,0,0
161025,4.92001,335.28,0.00620928,52.2284,78.5466,204.207,0.292257,0,0
161780,4.94002,335.106,0.00738928,52.2237,78.4894,204.096,0.289697,0,0
162613,4.96,334.8,0.00985136,52.2193,78.491,203.918,0.161887,0,0
163523,4.98001,334.872,0.00874056,52.2719,78.6064,203.734,0.251245,0,0
164462,5.00001,334.893,0.0106551,52.3052,78.7212,203.608,0.248249,0,0
165415,5.02,335.038,0.0100609,52.311,78.8991,203.546,0.271359,0,0
166204,5.04002,335.126,0.00959951,52.3297,78.9625,203.569,0.254586,0,0
167095,5.06001,335.109,0.0102146,52.3585,79.0232,203.474,0.24271,0,0
168028,5.08001,335.222,0.0118492,52.3736,78.9323,203.461,0.44318,0,0
169073,5.10002,334.89,0.0139612,52.3716,78.9021,203.359,0.243416,0,0
170143,5.12001,334.766,0.0141091,52.4041,79.0086,203.199,0.140048,0,0
171219,5.14001,334.818,0.0141079,52.3925,79.1301,203.092,0.188932,0,0
172327,5.16001,335.078,0.0114163,52.3911,79.407,203.068,0.201067,0,0
173226,5.18,335.304,0.0135366,52.4256,79.3917,203.142,0.331134,0,0
174098,5.2,335.286,0.0135592,52.4421,79.4586,203.134,0.238465,0,0
174792,5.22,335.236,0.0153708,52.4779,79.4389,203.136,0.168316,0,0
175598,5.24003,335.29,0.0153147,52.4997,79.3649,203.237,0.17318,0,0
176419,5.26001,335.273,0.0161922,52.5102,79.2892,203.31,0.148299,0,0
177240,5.28002,335.372,0.0174855,52.5261,79.3516,203.282,0.194469,0,0
177855,5.30001,335.368,0.0179468,52.5611,79.4092,203.252,0.127281,0,0
178657,5.32002,335.356,0.0183852,52.5863,79.4489,203.181,0.121609,0,0
